iter	Logloss
0	0.6119158398
1	0.5447878921
2	0.4955440996
3	0.4513635311
4	0.413036435
5	0.3820097736
6	0.3557378241
7	0.3335439077
8	0.3099800047
9	0.2933032783
10	0.2776006691
11	0.2625765331
12	0.251071463
13	0.2418760589
14	0.2308434287
15	0.2231540303
16	0.2155397534
17	0.2087277999
18	0.2021353393
19	0.1974328625
20	0.193502887
21	0.1896068133
22	0.1863451985
23	0.183416827
24	0.1809660518
25	0.1782910907
26	0.1760651695
27	0.1740137879
28	0.1724943208
29	0.1709195376
30	0.1695008043
31	0.1683652428
32	0.1673829669
33	0.166542646
34	0.1658713928
35	0.1650668496
36	0.1646347328
37	0.1641049513
38	0.1635876721
39	0.1631176376
40	0.162637652
41	0.1622770936
42	0.1618748457
43	0.1614499474
44	0.1610548961
45	0.1608347842
46	0.1605753847
47	0.1602830259
48	0.1600434746
49	0.1598232061
50	0.1596660779
51	0.1594004153
52	0.1592578102
53	0.1591473547
54	0.1589682477
55	0.1587333906
56	0.1585604847
57	0.1583397141
58	0.1581720866
59	0.1580270437
60	0.1579246268
61	0.1578447344
62	0.1576807278
63	0.1575966302
64	0.1575012521
65	0.1574340282
66	0.1573597805
67	0.1572237383
68	0.1571733731
69	0.1570424161
70	0.1569808639
71	0.1569200567
72	0.1568716558
73	0.156831971
74	0.1567822957
75	0.1567138161
76	0.1566473696
77	0.156603431
78	0.1565074315
79	0.1564057149
80	0.156305232
81	0.1562261612
82	0.1561834816
83	0.1561390168
84	0.1560986863
85	0.1560399029
86	0.15600372
87	0.1559260017
88	0.1558870596
89	0.1558658441
90	0.1558266664
91	0.1557961907
92	0.1557579099
93	0.1557312784
94	0.1557189585
95	0.155687914
96	0.1556660805
97	0.1556439296
98	0.1555897723
99	0.1555329274
100	0.1555146945
101	0.1554675036
102	0.1554429773
103	0.1554295204
104	0.1554086904
105	0.1553673465
106	0.1553349729
107	0.1553133388
108	0.1552825212
109	0.1552700333
110	0.1552391911
111	0.1552230575
112	0.15520715
113	0.1551962457
114	0.1551683953
115	0.155128811
116	0.1550952306
117	0.15504656
118	0.1550338302
119	0.1550103883
120	0.1550025349
121	0.1549738476
122	0.1549478171
123	0.1549106358
124	0.1548921386
125	0.1548808619
126	0.1548636174
127	0.1548438207
128	0.1548237602
129	0.1547773744
130	0.1547639011
131	0.1547551551
132	0.1547160323
133	0.1547084082
134	0.1546761912
135	0.1546576996
136	0.1546418454
137	0.1546201517
138	0.1546084732
139	0.1545889181
140	0.154581739
141	0.1545680819
142	0.1545471612
143	0.154535843
144	0.1545228587
145	0.1545197403
146	0.1545109298
147	0.1544953162
148	0.1544826431
149	0.1544527626
150	0.1544450634
151	0.1544209335
152	0.1543976026
153	0.1543869234
154	0.1543697157
155	0.1543646544
156	0.1543445669
157	0.1543225185
158	0.1542999621
159	0.1542888449
160	0.1542627587
161	0.1542419631
162	0.1542256689
163	0.1542127201
164	0.1541808957
165	0.1541542221
166	0.1541300087
167	0.1541017548
168	0.1540895432
169	0.1540660808
170	0.1540526908
171	0.1540393704
172	0.1540274187
173	0.1540108107
174	0.1539977837
175	0.1539881555
176	0.1539841937
177	0.153976485
178	0.1539427701
179	0.1539295333
180	0.153920128
181	0.1538943756
182	0.1538743587
183	0.1538503438
184	0.1538303523
185	0.1538155881
186	0.1538002916
187	0.1537776685
188	0.1537607371
189	0.1537504945
190	0.1537339358
191	0.15372796
192	0.1537037394
193	0.153681579
194	0.1536629791
195	0.1536462666
196	0.1536391038
197	0.1536046284
198	0.1535970592
199	0.1535868509
